Names	total	elements
		GFPT2
		LOC101930449///LOC101930028
		KCNC1
		CCL19
		ARHGEF9
		STARD5
		LOC101929586
		LOC732360///TDG
		STAU2
		FAM98A
		SLFN12
		ABR
		CNPY4
		CD38
		TNFRSF9
		NAT8L
		C19orf43
		NEFH
		CCNE1
		ZNF257
		WHSC1L1
		ROR2
		ISM1
		HIST1H1E
		FOXM1
		SMUG1
		UFM1
		APOE
		FBXO11
		LOC101929949
		PSMG4
		EMC1
		HDAC7
		HTR7P1
		LOC642852
		PPP1R3D
		PLEKHG4
		GRB2
		LINC00597
		ATXN7L3B
		FCGR1CP///FCGR1B///FCGR1A
		DUS3L
		CHST15
		CDK1
		N4BP2L2
		CCAR1
		CCDC43
		B3GNT7
		LOC283484
		POLR2B
		RPS28
		MZB1
		KLHL36
		TOR3A
		KIAA0100
		TMEM255A
		FNDC1
		SETDB1
		LCMT1
		LOC101927122
		INTS1
		MMP16
		ORC1
		RNF139-AS1
		FAM198A
		GMPPA
		PTP4A2
		BDKRB1
		NDUFS4
		PIK3CB
		COL18A1
		PXDN
		PDZD3
		C1QL1
		ATP11C
		CDCA4
		FAM110C
		C9orf16
		ADAM32
		CD6
		FUS
		EMX2
		RSRC1
		COG1
		PTRF
		CHST11
		POLR2J4
		PWP2
		MMP15
		MTMR14
		ALAD
		LOC101929526
		RBFADN
		USP42
		EN1
		IPP
		TMEM59
		POLR2J
		SEC23IP
		CNOT1
		RGS4
		SNX6
		GTF2IP20
		POLG
		TFR2
		LUC7L2
		NCDN
		RICTOR
		LSM4
		TMEM104
		SAMM50
		RHOH
		SNAPC1
		OGFOD2
		DDX49
		CAPN1
		LOC654342
		GBGT1
		CELA3A
		LAGE3
		DPYD
		ANKRD49
		SLITRK4
		METTL21A
		LOC105372607
		USP32
		NUDT12
		KDM6A
		SETMAR
		NCAM1
		EML3
		MAN2B1
		FAM24A
		OFD1
		SAA2///SAA1
		PRDX4
		ABHD12
		C8orf44-SGK3///C8orf44///SGK3
		GLIS2
		KDM4B
		PEX16
		FGF1
		VPS25
		UBN2
		COL7A1
		LOC105376944
		EPHA4
		ZNF70
		L2HGDH
		CENPU
		HGH1
		CMTM3
		GPATCH2
		RP9
		PPAN-P2RY11///PPAN
		FAM234A
		MRPL15
		NQO2
		CDH8
		AGPS
		PLCXD2
		SPACA6
		HP1BP3
		UNG
		OSR2
		COMMD5
		DCUN1D5
		SLC9A3R1
		CHURC1-FNTB///FNTB
		GNB4
		OSBP
		ALDH1L2
		NOP58
		SLC39A5
		DOCK11
		PRR5
		STAT5A
		LOC101927402
		DNHD1
		SMTNL2
		FKBP4
		PTPN2
		BST1
		HCFC1
		AHI1
		KISS1R
		NRG4
		NADSYN1
		RGS14
		ACTR5
		KIF14
		LOC100130111
		SNORA78
		YIPF2
		SMC6
		TRMT6
		MAD2L1
		ZFHX4-AS1
		PTPRH
		ATP10A
		PXN-AS1
		RPS21
		XCR1
		ELFN1
		NMNAT2
		SORBS2
		SH3PXD2A
		SH2D2A
		LINC00475
		NRF1
		UG0898H09
		LMO4
		KCTD7///RABGEF1
		LOC100505555///ZNF846
		NEGR1-IT1
		XCL2///XCL1
		PAQR4
		OPA3
		TAGAP
		PRND
		TRAF7
		MAGOHB
		PIGL
		MILR1
		HUS1
		LOC100288893
		ZNF667
		CHRM4
		ATP7B
		SFRP2
		JPX
		NFYC
		CEP131
		DUS4L
		KCNK10
		ZNF738
		MSH5-SAPCD1///SAPCD1///MSH5
		POLRMT
		VMP1
		NDUFA13
		ZAN
		MANF
		MRPL41
		EIF4E2
		NPFFR2
		LINC01114
		NENF
		SCAMP3
		MTG1
		ENTPD7
		TTC13
		CASC4
